"""Gender""","""Género"""
"""Age Range""","""Rango de edad"""
"""Interested in ages X - Y""","""Interesado en edades X - Y"""
"""About Me""","""Acerca de mí"""
"""Prompts""","""Indicaciones"""
"""No prompts added yet""","""Aún no se han añadido indicaciones"""
"""Interests""","""Intereses"""
"""No interests added yet""","""Aún no se han añadido intereses"""
"""Loading profile...""","""Cargando perfil..."""
"""Failed to load profile""","""No se pudo cargar el perfil"""
"""Failed to create profile""","""No se pudo crear el perfil"""
"""Preview Mode""","""Modo de vista previa"""
"""About""","""Acerca de"""
"""Add more details to your profile to show here!""","""¡Agregue más detalles a su perfil para mostrarlos aquí!"""
✏️ EDIT PROFILE PAGE (src/pages/EditProfile.tsx),✏️ EDITAR PÁGINA DE PERFIL (src/pages/EditProfile.tsx)
"""Edit Profile""","""Editar perfil"""
"""Create your dating profile""","""Crea tu perfil de citas"""
"""Photos (Max 3)""","""Fotos (Máximo 3)"""
"""Drag to reorder""","""Arrastrar para reordenar"""
"""Upload Photo""","""Subir foto"""
"""Name""","""Nombre"""
"""Your name""","""Tu nombre"""
"""Age""","""Edad"""
"""Gender""","""Género"""
"""Select gender""","""Seleccionar género"""
"""Man""","""Hombre"""
"""Woman""","""Mujer"""
"""Non-binary""","""No binario"""
"""Interested In""","""Interesado en"""
"""Select preference""","""Seleccionar preferencia"""
"""Men""","""Hombres"""
"""Women""","""Mujeres"""
"""Both""","""Ambos"""
"""Age Range Preference""","""Preferencia de rango de edad"""
"""About Me (Optional)""","""Acerca de mí (opcional)"""
"""Tell others about yourself...""","""Cuéntale a los demás sobre ti ..."""
"""Prompts (1-3 required)""","""Indicaciones (se requieren 1-3)"""
"""Add Prompt""","""Agregar mensaje"""
"""Select a prompt""","""Seleccione un mensaje"""
"""Your answer...""","""Tu respuesta..."""
"""Interests (Max 5)""","""Intereses (Máximo 5)"""
"""Add Interest""","""Agregar interés"""
"""Add custom interest""","""Agregar interés personalizado"""
"""Save Changes""","""Guardar cambios"""
"""Cancel""","""Cancelar"""
"""Failed to load profile""","""No se pudo cargar el perfil"""
"""Please complete all required fields: Name, Age, Gender, Interested In, and at least one photo""","""Complete todos los campos obligatorios: Nombre, Edad, Sexo, Interesado y al menos una foto"""
"""Please answer at least 1 prompt""","""Por favor, responda al menos 1 pregunta"""
"""Please complete all prompt answers""","""Por favor, complete todas las respuestas rápidas"""
"""Profile updated successfully!""","""¡Perfil actualizado con éxito!"""
"""Failed to update profile""","""No se pudo actualizar el perfil"""
"""Photo must be less than 5MB""","""La foto debe tener menos de 5 MB"""
"""Please upload a JPG, PNG, or WEBP image""","""Por favor, sube una imagen JPG, PNG o WEBP"""
"""Maximum 3 photos allowed""","""Máximo 3 fotos permitidas"""
"""Photo uploaded!""","""¡Foto subida!"""
"""Failed to upload photo""","""No se pudo cargar la foto"""
"""Photo removed!""","""¡Foto eliminada!"""
"""Failed to delete photo""","""No se pudo eliminar la foto"""
"""Photo order updated""","""Pedido de fotos actualizado"""
"""Maximum 3 prompts allowed""","""Máximo 3 indicaciones permitidas"""
"""No more prompts available""","""No hay más indicaciones disponibles"""
"""Maximum 5 interests allowed""","""Máximo 5 intereses permitidos"""
"""Must be 18 or older""","""Debe tener 18 años o más"""
"""Invalid age""","""Edad inválida"""
"""Name is required""","""Se requiere nombre"""
"""Name must be less than 100 characters""","""El nombre debe tener menos de 100 caracteres"""
"""Bio must be less than 500 characters""","""La biografía debe tener menos de 500 caracteres"""
"""Please select a valid gender""","""Por favor, seleccione un género válido"""
"""Please select who you're interested in""","""Por favor, seleccione quién le interesa"""
"""Maximum 10 interests allowed""","""Máximo 10 intereses permitidos"""
,
Prompt Options:,
,
"""The most trouble I could get into tonight is…""","""El mayor problema en el que podría meterme esta noche es..."""
"""My favorite thing about weddings isn't the cake, it's…""","""Lo que más me gusta de las bodas no es el pastel, es..."""
"""If you find me on the dance floor, I'm probably…""","""Si me encuentras en la pista de baile, probablemente estoy..."""
"""I'll flirt with you if you catch me at the… (bar / photo booth / balcony / buffet line)""","""Coquetearé contigo si me atrapas en el... (bar / fotomatón / balcón / línea buffet)"""
"""The one thing I really want from tonight is…""","""Lo único que realmente quiero de esta noche es..."""
"""My ""wedding alter ego"" is… (the champagne bandit / dance-floor menace / smooth talker)""","""Mi ""alter ego de boda"" es... (el bandido del champán / amenaza de la pista de baile / hablador suave)"""
"""The hottest moment at a wedding I've ever seen was…""","""El momento más caliente en una boda que he visto fue..."""
"""If I catch the bouquet/garter, I'm expecting…""","""Si atrapo el ramo / liga, estoy esperando ..."""
"""My favorite part of a wedding outfit is… (on me / on you)""","""Mi parte favorita de un atuendo de boda es... (en mí / en ti)"""
"""The morning after a wedding, I'm usually guilty of…""","""La mañana después de una boda, generalmente soy culpable de..."""
,
Interest Options:,
,
"""Travel"", ""Food"", ""Music"", ""Dancing"", ""Photography"", ""Reading"", ""Hiking"", ""Yoga"", ""Cooking"", ""Art"", ""Sports"", ""Movies"", ""Gaming"", ""Fitness""","""Viajar"", ""Comida"", ""Música"", ""Bailar"", ""Fotografía"", ""Leer"", ""Senderismo"", ""Yoga"", ""Cocinar"", ""Arte"", ""Deportes"", ""Películas"", ""Juegos"", ""Fitness"""
⚙️ SETTINGS PAGE (src/pages/Settings.tsx),⚙️ PÁGINA DE CONFIGURACIÓN (SRC/PAGES/Settings.tsx)
"""Settings""","""Configuración"""
"""Customize your experience""","""Personaliza tu experiencia"""
"""Change Email""","""Cambiar correo electrónico"""
"""New Email""","""Nuevo correo electrónico"""
"""your.new@email.com""","""your.new@email.com"""
"""Update Email""","""Actualizar correo electrónico"""
"""Change Password""","""Cambiar contraseña"""
"""New Password""","""Nueva contraseña"""
"""Confirm Password""","""Confirmar contraseña"""
"""Update Password""","""Actualizar contraseña"""
"""Logout""","""Cerrar sesión"""
"""Please enter a new email""","""Por favor, introduce un nuevo correo electrónico"""
"""Email update sent! Check your inbox to confirm.""","""¡Actualización por correo electrónico enviada! Revisa tu bandeja de entrada para confirmar""."
"""Please enter a new password""","""Ingrese una nueva contraseña"""
"""Passwords do not match""","""Las contraseñas no coinciden"""
"""Password must be at least 6 characters""","""La contraseña debe tener al menos 6 caracteres"""
"""Password updated successfully""","""Contraseña actualizada correctamente"""
"""Logged out successfully""","""Se cerró la sesión correctamente"""
🎉 CREATE EVENT PAGE (src/pages/CreateEvent.tsx),🎉 CREAR PÁGINA DE EVENTOS (src/pages/CreateEvent.tsx)
"""Create Event""","""Crear evento"""
"""Edit Event""","""Editar evento"""
"""Partner 1's First Name""","""Nombre de la pareja 1"""
"""e.g., Sarah""","""por ejemplo, Sarah"""
"""Partner 2's First Name""","""Nombre del socio 2"""
"""e.g., James""","""por ejemplo, James"""
"""Event Date""","""Fecha del evento"""
"""Event Image""","""Imagen del evento"""
"""Change Photo""","""Cambiar foto"""
"""Remove Photo""","""Eliminar foto"""
"""Upload Photo""","""Subir foto"""
"""Choose Plan""","""Elegir plan"""
"""Free Plan""","""Plan gratuito"""
"""Premium Plan""","""Plan Premium"""
"""Up to 10 guests""","""Hasta 10 invitados"""
"""Perfect for intimate weddings""","""Perfecto para bodas íntimas"""
"""FREE""","""GRATIS"""
"""Unlimited guests""","""Invitados ilimitados"""
"""Ideal for large weddings""","""Ideal para bodas grandes"""
"""$99""","""$99"""
"""I agree that I am 18+ and accept the Terms of Service""","""Acepto que tengo 18+ y acepto los Términos de servicio"""
"""Create Event""","""Crear evento"""
"""Publish Event""","""Publicar evento"""
"""Next""","""Próximo"""
"""Back""","""Atrás"""
"""Loading draft...""","""Cargando borrador..."""
"""Loaded your draft""","""Cargado tu borrador"""
"""Continue where you left off""","""Continúa donde lo dejaste"""
"""Failed to load draft event""","""No se pudo cargar el evento de borrador"""
"""Photo must be less than 5MB""","""La foto debe tener menos de 5 MB"""
"""Please upload a JPG, PNG, or WEBP image""","""Por favor, sube una imagen JPG, PNG o WEBP"""
"""Photo ready!""","""¡Foto lista!"""
"""Redirecting to payment...""","""Redirigir al pago..."""
"""Failed to initiate payment""","""No se pudo iniciar el pago"""
"""Please complete all required fields""","""Por favor, complete todos los campos obligatorios"""
"""Please add an event image""","""Por favor, agregue una imagen del evento"""
"""Complete payment to activate Premium features""","""Completar el pago para activar las funciones Premium"""
"""Event published! 🎊""","""¡Evento publicado! 🎊"""
"""Share your event code with guests""","""Comparte el código de tu evento con los invitados"""
"""Event created! 🎊""","""¡Evento creado! 🎊"""
"""Failed to create event""","""No se pudo crear el evento"""
"""Event name is required""","""El nombre del evento es obligatorio"""
"""Event name must be less than 100 characters""","""El nombre del evento debe tener menos de 100 caracteres"""
"""Description must be less than 500 characters""","""La descripción debe tener menos de 500 caracteres"""
"""Invalid date format""","""Formato de fecha no válido"""
🎪 EVENT DASHBOARD (src/pages/EventDashboard.tsx),🎪 PANEL DE EVENTOS (src/pages/EventDashboard.tsx)
"""Event Dashboard""","""Panel de eventos"""
"""Copy Event Link""","""Copiar enlace de evento"""
"""Event Code""","""Código de evento"""
"""Upgrade to Premium""","""Actualizar a Premium"""
"""Guests""","""Invitados"""
"""Stats""","""Estadísticas"""
"""Settings""","""Configuración"""
"""Total Guests""","""Total de huéspedes"""
"""Total Likes""","""Me gusta total"""
"""Matches Created""","""Partidos creados"""
"""Most Active""","""Más activo"""
"""X swipes""","""X golpes"""
"""Chat""","""Charla"""
"""Remove""","""Eliminar"""
"""Edit Event""","""Editar evento"""
"""Save Changes""","""Guardar cambios"""
"""Close Event""","""Evento de cierre"""
"""Event Name""","""Nombre del evento"""
"""Event Description""","""Descripción del evento"""
"""Event Date""","""Fecha del evento"""
"""Close Event?""","""¿Evento cercano?"""
"""This will prevent new guests from joining and stop all matchmaking. This action cannot be undone.""","""Esto evitará que se unan nuevos invitados y detendrá todo emparejamiento. Esta acción no se puede deshacer""."
"""Cancel""","""Cancelar"""
"""Close Event""","""Evento de cierre"""
"""No guests yet""","""Todavía no hay invitados"""
"""Share your event code to invite guests!""","""¡Comparte el código de tu evento para invitar a los invitados!"""
"""Loading event data...""","""Cargando datos de eventos..."""
"""Event not found""","""Evento no encontrado"""
"""Go Home""","""Vete a casa"""
"""Payment verified! Premium features activated""","""¡Pago verificado! Funciones premium activadas"""
"""Your event now has unlimited guest capacity""","""Tu evento ahora tiene capacidad ilimitada para invitados"""
"""Payment verification failed""","""Error en la verificación del pago"""
"""Please contact support if payment was completed""","""Póngase en contacto con el soporte si se completó el pago"""
"""Opening payment page...""","""Abriendo la página de pago..."""
"""Complete payment to upgrade to Premium""","""Pago completo para actualizar a Premium"""
"""Failed to initiate upgrade""","""No se pudo iniciar la actualización"""
"""Failed to load event data""","""No se pudieron cargar los datos del evento"""
"""Please select a reason""","""Por favor, seleccione un motivo"""
"""Failed to remove guest""","""No se pudo eliminar al huésped"""
"""X has been removed""","""X ha sido eliminado"""
"""Event updated successfully!""","""¡Evento actualizado con éxito!"""
"""Failed to update event""","""No se pudo actualizar el evento"""
"""Image must be less than 10MB""","""La imagen debe tener menos de 10 MB"""
"""Event closed successfully""","""Evento cerrado con éxito"""
"""Failed to close event""","""No se pudo cerrar el evento"""
"""Event link copied to clipboard!""","""¡Enlace de evento copiado al portapapeles!"""
"""Event code copied!""","""¡Código de evento copiado!"""
🔗 JOIN EVENT (src/pages/JoinEvent.tsx),🔗 ÚNETE AL EVENTO (src/pages/JoinEvent.tsx)
"""Join Event""","""Unirse al evento"""
"""Enter your wedding invite code""","""Ingrese su código de invitación de boda"""
"""Join a Wedding""","""Únete a una boda"""
"""Enter the unique code from your wedding invite""","""Ingrese el código único de su invitación de boda"""
"""Received a link? Just click it to join instantly!""","""¿Recibiste un enlace? ¡Simplemente haga clic en él para unirse al instante!"""
"""Event Code""","""Código de evento"""
"""e.g., ABC123 or SARAH-JAMES-2025""","""por ejemplo, ABC123 o SARAH-JAMES-2025"""
"""18+ Only: This app is intended for adults only""","""Solo 18+: Esta aplicación está destinada solo para adultos"""
"""Join Wedding""","""Unirse a la boda"""
"""Please enter event code""","""Por favor, introduzca el código del evento"""
"""Invalid event code""","""Código de evento no válido"""
🔗 JOIN EVENT BY LINK (src/pages/JoinEventByLink.tsx),🔗 UNIRSE AL EVENTO POR ENLACE (src/pages/JoinEventByLink.tsx)
"""You're Invited!""","""¡Estás invitado!"""
"""Wedding Date""","""Fecha de la boda"""
"""Guests Joined""","""Invitados unidos"""
"""X singles ready to mingle""","""X singles listos para mezclarse"""
"""Konfetti creates a private matchmaking space for wedding guests. Swipe, match, and chat with other attendees!""","""Konfetti crea un espacio privado de emparejamiento para los invitados a la boda. ¡Desliza, combina y chatea con otros asistentes!"""
"""Which side are you on?""","""¿De qué lado estás?"""
"""Select side""","""Seleccionar bando"""
"""Bride's Side""","""El lado de la novia"""
"""Groom's Side""","""Lado del novio"""
"""18+ Only: This app is intended for adults only""","""Solo 18+: Esta aplicación está destinada solo para adultos"""
"""Join Wedding 🎊""","""Unirse a la boda 🎊"""
"""Joining...""","""Uniéndome..."""
"""Event Code: X""","""Código de evento: X"""
"""Loading event...""","""Cargando evento..."""
"""Invalid Event Link""","""Enlace de evento no válido"""
"""This event doesn't exist or the link has expired.""","""Este evento no existe o el enlace ha caducado""."
"""Go to Home""","""Ir a casa"""
"""Please select which side you're on""","""Por favor, selecciona de qué lado estás"""
"""Failed to check event capacity""","""No se pudo comprobar la capacidad del evento"""
"""This event has reached its maximum capacity (10 guests for Free plan). Please contact the host about upgrading to Premium for unlimited guests.""","""Este evento ha alcanzado su capacidad máxima (10 invitados para el plan gratuito). Ponte en contacto con el anfitrión para actualizar a Premium para huéspedes ilimitados""."
"""You've already joined this event!""","""¡Ya te has unido a este evento!"""
"""🥂 Welcome to the wedding!""","""¡🥂 Bienvenidos a la boda!"""
"""You've joined X's celebration""","""Te has unido a la celebración de X"""
"""Failed to join event""","""No se pudo unir al evento"""
"""Please complete your profile first""","""Por favor, complete su perfil primero"""
💕 LIKED YOU PAGE (src/pages/LikedYou.tsx),💕 TE GUSTÓ LA PÁGINA (src/pages/LikedYou.tsx)
"""Your Likes""","""Tus gustos"""
"""People you've shown interest in""","""Personas en las que has mostrado interés"""
"""New""","""Nuevo"""
"""Passed""","""Aprobado"""
"""All Likes""","""Todo me gusta"""
"""Pass""","""Pase"""
"""Like""","""Me gusta"""
"""Unlike""","""A diferencia de"""
"""Go Chat""","""Ir a chatear"""
"""It's a Match! 🎉""","""¡Es un partido! 🎉"""
"""You and X liked each other!""","""¡Tú y X se gustaron!"""
"""Passed on X""","""Pasó en X"""
"""Failed to create match""","""No se pudo crear una coincidencia"""
"""Failed to pass""","""No se aprobó"""
"""Unliked X""","""No me gustó X"""
"""Failed to unlike""","""No me gustó"""
"""No new likes yet""","""Todavía no hay nuevos me gusta"""
"""When someone likes you, they'll appear here!""","""¡Cuando le gustas a alguien, aparecerá aquí!"""
"""No passed likes""","""No hay me gusta pasados"""
"""People you passed on will show up here""","""Las personas que falleciste aparecerán aquí"""
"""No likes yet""","""Todavía no me gusta"""
"""Start swiping to show interest!""","""¡Empieza a deslizar para mostrar interés!"""
"""Failed to load likes""","""No se pudieron cargar los me gusta"""
🔐 AUTH PAGE (src/pages/Auth.tsx),🔐 PÁGINA DE AUTENTICACIÓN (src/pages/Auth.tsx)
"""The Wedding Matchmaking App""","""La aplicación de emparejamiento de bodas"""
"""Email""","""Correo electrónico"""
"""you@example.com""","""you@example.com"""
"""Password""","""Contraseña"""
"""Confirm Password""","""Confirmar contraseña"""
"""I confirm I am 18+ and agree to the Terms of Service""","""Confirmo que tengo 18+ y acepto los Términos de servicio"""
"""Sign In""","""Iniciar sesión"""
"""Create Account""","""Crear cuenta"""
"""Loading...""","""Cargando..."""
"""Or continue with""","""O continuar con"""
"""Continue with Google""","""Continuar con Google"""
"""Don't have an account? Sign up""","""¿No tienes una cuenta? Regístrate"""
"""Already have an account? Sign in""","""¿Ya tienes una cuenta? Iniciar sesión"""
"""Passwords don't match""","""Las contraseñas no coinciden"""
"""Please confirm you are 18+ and agree to terms""","""Por favor, confirme que tiene 18+ y acepte los términos"""
"""Invalid email or password""","""Correo electrónico o contraseña no válidos"""
"""Welcome back!""","""¡Bienvenido de nuevo!"""
"""This email is already registered""","""Este correo electrónico ya está registrado"""
"""Account created! Please complete your profile.""","""¡Cuenta creada! Por favor, complete su perfil""."
"""An error occurred during social login""","""Se ha producido un error durante el inicio de sesión social"""
"""Failed to sign in with X""","""No se pudo iniciar sesión con X"""
❌ NOT FOUND PAGE (src/pages/NotFound.tsx),❌ PÁGINA NO ENCONTRADA (src/pages/NotFound.tsx)
"""404""","""404"""
"""Oops! Page not found""","""¡Vaya! Página no encontrada"""
"""Return to Home""","""Regreso a casa"""
🎊 MATCH DIALOG (src/components/FullScreenMatchDialog.tsx),🎊 DIÁLOGO DE COINCIDENCIA (src/components/FullScreenMatchDialog.tsx)
"""It's a Match!""","""¡Es un partido!"""
"""You and X liked each other""","""Tú y X se gustaban"""
"""Start Chatting""","""Empezar a chatear"""
"""Keep Matching""","""Sigue emparejando"""
🚫 UNMATCH DIALOG (src/components/UnmatchDialog.tsx),🚫 CUADRO DE DIÁLOGO DE NO COINCIDIR (src/components/UnmatchDialog.tsx)
"""Unmatch X?""","""¿Desigual X?"""
"""Why are you unmatching?""","""¿Por qué eres inigualable?"""
"""No longer interested""","""Ya no me interesa"""
"""Found someone else""","""Encontré a alguien más"""
"""Inappropriate behavior""","""Comportamiento inapropiado"""
"""No chemistry""","""Sin química"""
"""Other""","""Otro"""
"""Please provide more details (optional)""","""Por favor, proporcione más detalles (opcional)"""
"""Cancel""","""Cancelar"""
"""Unmatch""","""Inigualable"""
"""Please select a reason""","""Por favor, seleccione un motivo"""
"""Please provide a description""","""Por favor, proporcione una descripción"""
"""You must be logged in""","""Debes iniciar sesión"""
"""You don't have permission to unmatch""","""No tienes permiso para desvincular"""
"""Already unmatched""","""Ya inigualable"""
"""You've unmatched successfully""","""Has desigualado con éxito"""
"""Failed to unmatch. Please try again.""","""No pudo deshacerse. Por favor, inténtalo de nuevo""."
🚩 REPORT DIALOG (src/components/ReportDialog.tsx),🚩 DIÁLOGO DE INFORME (src/components/ReportDialog.tsx)
"""Report X""","""Informe X"""
"""Why are you reporting this user?""","""¿Por qué estás denunciando a este usuario?"""
"""Inappropriate behavior""","""Comportamiento inapropiado"""
"""Harassment""","""Acoso"""
"""Fake profile""","""Perfil falso"""
"""Spam""","""Spam"""
"""Underage""","""Menores de edad"""
"""Other""","""Otro"""
"""Please provide more details""","""Por favor, proporcione más detalles"""
"""Cancel""","""Cancelar"""
"""Submit Report & Unmatch""","""Enviar informe y desemparejar"""
"""You must be logged in to report""","""Debes iniciar sesión para informar"""
"""You don't have permission to report""","""No tienes permiso para denunciar"""
"""Already reported""","""Ya informado"""
"""Report submitted and user unmatched""","""Informe enviado y usuario no coincidente"""
"""Failed to submit report""","""No se pudo presentar el informe"""
